"Upstream","Production","Research","Experiments","Educational","Personal","Browsing"
1,1,,,,,
,1,,,,,
,1,,,,,
1,1,,,,,
,1,1,1,,,
,,1,1,,,
1,1,,,,,
1,1,1,1,1,,
1,1,1,,,,
,1,,,,,
,1,1,1,,1,
,,,,,1,
1,,,,,,
,,1,,1,1,
,1,,,,,
,1,,,,,
,,1,1,,,
1,1,,,,,
,1,,,,,
,1,,,,,
1,1,1,1,,1,
,,1,,,,
,1,,,,,
1,1,,,,,
,1,1,,,,
1,1,1,1,,,
,,1,1,1,,
,,1,1,,,
,,1,1,1,,
1,1,,,,,
1,1,1,,,,
,1,,,,,
,1,,,,,
,,1,1,,,
,1,1,,,,
1,,1,,,,
1,1,,,,,
1,1,1,,1,,
,1,1,,,1,
1,1,1,,,,
1,1,,,,,
1,1,1,1,,,
,1,,,,,
,1,1,,,,
1,1,,,,,
1,1,1,1,,1,
1,1,1,1,,,
,1,1,,,1,
,1,1,,,,
,1,1,1,,,
,,1,1,1,1,
,1,1,,,1,
,,1,1,,,
,1,,,,,
1,1,1,1,,,
,1,1,,1,,
1,1,1,1,,,
1,1,,,,,
1,1,1,1,,,
,1,1,,,,
1,1,1,,,,
,1,,,,,
,1,1,,,1,
1,1,1,1,,,
,1,,,,,
,1,1,1,,,
,1,1,1,,,
,1,,,,,
1,1,,,,,
,1,,,1,,
,1,,,,,
,1,1,,,,
1,1,,,,,
,1,1,1,,,
1,1,1,,,,
1,1,,,,,
1,1,1,1,,,
1,1,1,1,,,
1,1,,,,,
1,,1,1,,,
,1,,,,,
1,1,,,,,
,1,1,1,,,
1,1,1,1,,,
1,1,1,1,,,
,,1,1,,,
,1,1,1,,,
1,1,1,,,,
